offer_id,geo,day_of_week,slot_10m,hits_10m,clicks_10m
offer_activechannel,US,1,84,32,26
offer_activechannel,US,1,84,31,25
offer_activechannel,US,1,84,33,27
offer_activechannel,US,1,84,30,24
offer_activechannel,US,1,84,32,26
offer_activechannel,US,1,84,31,25
offer_activechannel,US,1,84,33,27
offer_activechannel,US,1,84,32,26
offer_other,US,1,84,19,14
offer_other,US,1,84,21,16
offer_other,US,1,84,20,15
offer_other,US,1,84,18,13
offer_other,US,1,84,22,17
offer_other,US,1,84,21,16
offer_other,US,1,84,20,15
offer_other,US,1,84,19,14
